,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
88,AC Milan,2302764,4,4,16,break,Liverpool,0.72122419,True,False,1.6742424242424243,Error,Error,Error,Error,0.2529288412881923,0.3409090909090909,0.47379792192098696
89,Liverpool,2302764,0,1,22,game start,,0.045281665,True,True,1.6,2,3,2.4545454545454546,Djimi Traoré,0.2829236841949888,0.4727272727272727,0.5590326327707311
90,Liverpool,2302764,1,1,24,sub,Liverpool,0.149583819,True,True,1.690909090909091,2,4,3.272727272727273,Steve Finnan,0.2653877539138815,0.4818181818181818,0.5614540752297414
91,Liverpool,2302764,2,2,46,break,Liverpool,1.570483734,True,True,1.4363636363636363,2,3,2.1818181818181817,Dietmar Hamann,0.2891554964108421,0.5909090909090909,0.6853040410495951
92,Liverpool,2302764,3,3,16,break,Liverpool,0.0,True,False,1.8818181818181818,Error,Error,Error,Error,0.2724131520873493,0.24545454545454545,0.4085767978791235
93,Liverpool,2302764,4,4,16,break,Liverpool,0.056828907000000005,True,True,1.8333333333333333,2,4,3,Steven Gerrard,0.2947071115085738,0.36666666666666664,0.608176034491824
94,AS Monaco,3752619,0,1,23,game start,,0.030981608,True,True,1.7,2,3,2.6363636363636362,Gaël Givet-Viaros,0.28882655995681095,0.4,0.34038598459273534
95,AS Monaco,3752619,1,1,23,sub,AS Monaco,0.0,True,True,1.518181818181818,2,3,2.1818181818181817,Andreas Vasilios Zikos,0.2847650475616681,0.5,0.5209997702890513
96,AS Monaco,3752619,2,2,18,break,AS Monaco,0.148155554,True,True,1.5727272727272728,2,3,2.272727272727273,Andreas Vasilios Zikos,0.29566306008821874,0.4818181818181818,0.5492702300861694
97,AS Monaco,3752619,3,2,30,sub,FC Porto,0.348910628,True,True,1.5757575757575757,2,3,2.75,Hugo Benjamín Ibarra,0.2653939515520544,0.5,0.5799645311566307
98,FC Porto,3752619,0,1,22,game start,,0.010999546,True,True,1.5363636363636364,2,3,2.272727272727273,Anderson Luís de Souza,0.2909116287719759,0.5181818181818182,0.6253371465880401
99,FC Porto,3752619,1,1,22,sub,AS Monaco,0.086325325,True,False,1.4333333333333333,Error,Error,Error,Error,0.25906286382345667,0.3111111111111111,0.4740649350649351
100,FC Porto,3752619,2,2,17,break,AS Monaco,0.0,True,False,1.5272727272727273,Error,Error,Error,Error,0.27505989687182486,0.36363636363636365,0.420640584244272
101,FC Porto,3752619,3,2,30,sub,FC Porto,0.5520139799999999,True,True,1.9423076923076923,3,4,3.230769230769231,Dmitriy Alenichev,0.24459582287866957,0.2948717948717949,0.37864978365505236
102,Aston Villa,3775648,0,1,45,game start,,0.037459332,True,False,1.7777777777777777,Error,Error,Error,Error,0.2604564854161948,0.3,0.33276825170014024
103,Aston Villa,3775648,1,2,21,break,Arsenal WFC,0.088589374,True,False,1.6636363636363636,Error,Error,Error,Error,0.26582655060757854,0.33636363636363636,0.41034854034854035
104,Aston Villa,3775648,2,2,27,goal,Aston Villa,0.246857653,True,False,2.015151515151515,Error,Error,Error,Error,0.25994027866615704,0.23484848484848486,0.2706043956043956
105,Arsenal WFC,3775648,0,1,45,game start,,0.69150461,True,True,1.2181818181818183,1,2,1.9090909090909092,Leah Williamson,0.29204059161873547,0.7818181818181819,0.8848621526580598
106,Arsenal WFC,3775648,1,2,21,break,Arsenal WFC,1.541094193,True,True,1.4545454545454546,2,3,2.272727272727273,Bethany Mead,0.28811142490020736,0.5727272727272728,0.6406855329916206
107,Arsenal WFC,3775648,2,2,26,goal,Aston Villa,0.8967126480000001,True,True,1.7625,2,4,2.9375,Bethany Mead,0.2302882250283736,0.375,0.547181182220387
108,Arsenal WFC,3775609,0,1,45,game start,,1.4125718900000002,True,True,1.209090909090909,1,2,1.9090909090909092,Vivianne Miedema,0.29899617810284884,0.7909090909090909,0.7921477278944452
109,Arsenal WFC,3775609,1,2,26,break,West Ham United LFC,0.710167542,True,True,1.4545454545454546,2,3,2.1818181818181817,Bethany Mead,0.29193098820945096,0.5636363636363636,0.5924099323884116
110,Arsenal WFC,3775609,2,2,22,sub,Arsenal WFC,0.578417174,True,True,1.564102564102564,2,3,2.3076923076923075,Anna Patten,0.2638008163203084,0.46794871794871795,0.5302398687616549
111,West Ham United LFC,3775609,0,1,46,game start,,0.155246702,True,True,1.6,2,3,2.3636363636363638,Cecilie Redisch Kvamme,0.2794024318417908,0.4818181818181818,0.5695842854685734
112,West Ham United LFC,3775609,1,2,26,break,West Ham United LFC,0.016119216,True,True,1.5888888888888888,2,3,2.3,Emily Louise van Egmond,0.3091287070449482,0.4666666666666667,0.4712741341998432
113,West Ham United LFC,3775609,2,2,21,sub,Arsenal WFC,0.122365699,True,True,1.809090909090909,2,4,3,Emily Louise van Egmond,0.2791277596920382,0.36363636363636365,0.4150044743697994
114,Aston Villa,3775633,0,1,48,game start,,0.129877059,True,True,1.8272727272727274,2,4,2.727272727272727,Elisha N''Dow,0.2784987224361681,0.33636363636363636,0.4757218956459943
115,Aston Villa,3775633,1,2,37,break,Aston Villa,0.091935694,True,False,1.7,Error,Error,Error,Error,0.2673449655544156,0.32727272727272727,0.4511417875054239
116,Aston Villa,3775633,2,2,19,sub,Tottenham Hotspur Women,0.0,True,False,0.7857142857142857,Error,Error,Error,Error,0.2651653622069348,0.17857142857142858,0.08333333333333333
117,Tottenham Hotspur Women,3775633,0,1,45,game start,,0.242142035,True,True,1.3454545454545455,1,3,2,Kerys Harrop,0.2913726808445994,0.6636363636363637,0.7207399905428471
118,Tottenham Hotspur Women,3775633,1,2,36,break,Aston Villa,0.065732602,True,True,1.4621212121212122,2,3,2.0833333333333335,Abbie McManus,0.278023492304591,0.5454545454545454,0.6112766234669461
119,Tottenham Hotspur Women,3775633,2,2,19,sub,Tottenham Hotspur Women,0.213798475,True,True,1.4636363636363636,2,2,2,Abbie McManus,0.2893708020907614,0.5363636363636364,0.5998002512788612
120,Brighton & Hove Albion WFC,3775570,0,1,21,game start,,0.013761683,True,True,1.8454545454545455,2,4,3,Danique Kerkdijk,0.2922539463805009,0.34545454545454546,0.33377008424855314
121,Brighton & Hove Albion WFC,3775570,1,1,24,goal,Brighton & Hove Albion WFC,0.0,True,True,1.7,2,3,2.5454545454545454,Danique Kerkdijk,0.28627922973281683,0.37272727272727274,0.41987766755208616
122,Brighton & Hove Albion WFC,3775570,2,2,17,break,Brighton & Hove Albion WFC,0.020038933,True,True,2.2181818181818183,3,5,3.4545454545454546,Danique Kerkdijk,0.2889528551024372,0.2818181818181818,0.2813582616214195
123,Brighton & Hove Albion WFC,3775570,3,2,30,goal,Brighton & Hove Albion WFC,0.537503274,True,True,2.022727272727273,3,5,3.5,Megan Connolly,0.2500342581229293,0.30303030303030304,0.33458958866790606
124,Everton LFC,3775570,0,1,23,game start,,0.973912707,True,True,1.6,2,3,2.272727272727273,Abbey-Leigh Stringer,0.2918865334269915,0.43636363636363634,0.4290166288503317
125,Everton LFC,3775570,1,1,22,goal,Brighton & Hove Albion WFC,0.548537304,True,True,1.518181818181818,2,3,2.272727272727273,Abbey-Leigh Stringer,0.2929338701537425,0.509090909090909,0.5134065824379079
126,Everton LFC,3775570,2,2,18,break,Brighton & Hove Albion WFC,1.13380413,True,True,1.5272727272727273,2,3,2.1818181818181817,Abbey-Leigh Stringer,0.2892596412166151,0.509090909090909,0.5954754904450532
127,Everton LFC,3775570,3,2,29,goal,Brighton & Hove Albion WFC,0.910878671,True,True,1.6602564102564104,2,3,2.5384615384615383,Lucy Graham,0.26169946167059194,0.4230769230769231,0.5334483966590478
128,Chelsea FCW,3775581,0,1,23,game start,,0.8641658379999999,True,True,1.4727272727272727,2,3,2.1818181818181817,Erin Cuthbert,0.2859218425432881,0.5454545454545454,0.6241348762955721
129,Chelsea FCW,3775581,1,1,21,goal,Aston Villa,0.64117621,True,True,1.5363636363636364,2,3,2.3636363636363638,Hannah Jayne Blundell,0.2877965340123478,0.5181818181818182,0.6007872715767014
