,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
129,Chelsea FCW,3775581,1,1,21,0.64117621,Error,Error,1.2727272727272727,1,2,1.9090909090909092,Magdalena Lilly Eriksson,0.2933896452485518,0.7272727272727273,0.8192640692640694
130,Chelsea FCW,3775581,2,2,19,0.360588853,Error,Error,1.5238095238095237,2,3,2.1333333333333333,Drew Spence,0.2489740870319588,0.4857142857142857,0.5398412698412699
131,Chelsea FCW,3775581,3,2,29,0.095404847,Error,Error,1.2272727272727273,2,2,2,Agnes Beever-Jones,0.2860806227556181,0.7727272727272727,0.7776455026455027
132,Aston Villa,3775581,0,1,23,0.0,Error,Error,1.4545454545454546,2,2,2,Anita Amma Ankyewah Asante,0.29083106789424257,0.5454545454545454,0.5363636363636363
133,Aston Villa,3775581,1,1,24,0.0,Error,Error,1.3818181818181818,2,2,2,Anita Amma Ankyewah Asante,0.29714736464087416,0.6181818181818182,0.5883116883116883
134,Aston Villa,3775581,2,2,19,0.015560847,Error,Error,1.6,2,3,2.4,Anita Amma Ankyewah Asante,0.3104587547418999,0.4444444444444444,0.31666666666666665
135,Aston Villa,3775581,3,2,29,0.0,Error,Error,1.8333333333333333,2,4,3.076923076923077,Chloe Arthur,0.26134053941284047,0.34615384615384615,0.27582417582417584
136,Reading WFC,3775579,0,1,47,1.098761096,Error,Error,1.1818181818181819,1,2,1.8181818181818181,Fara Williams,0.2985691201085629,0.8181818181818182,0.8575036075036077
137,Reading WFC,3775579,1,2,22,0.341809167,Error,Error,1.5,2,3,2.3333333333333335,Angharad James,0.3169206423928735,0.5555555555555556,0.5629629629629629
138,Reading WFC,3775579,2,2,27,1.0465094969999997,Error,Error,1.5151515151515151,2,3,2.25,Angharad James,0.27430705362494934,0.5151515151515151,0.6849206349206348
139,Brighton & Hove Albion WFC,3775579,0,1,45,0.41942029900000005,Error,Error,1.2181818181818183,1,2,1.8181818181818181,Emily Simpkins,0.29700562908453093,0.7818181818181819,0.8411976911976912
140,Brighton & Hove Albion WFC,3775579,1,2,22,0.137064453,Error,Error,1.3846153846153846,2,2,2,Aileen Whelan,0.27304225361182544,0.6153846153846154,0.6141025641025641
141,Brighton & Hove Albion WFC,3775579,2,2,27,0.045841258,Error,Error,1.3454545454545455,2,2,2,Aileen Whelan,0.2946090778087141,0.6545454545454545,0.6569985569985569
142,Aston Villa,3775544,0,1,45,0.04997223,Error,Error,1.2727272727272727,2,2,2,Anita Amma Ankyewah Asante,0.2962369894768366,0.7272727272727273,0.7704906204906206
143,Aston Villa,3775544,1,2,19,0.97703286,Error,Error,1.5818181818181818,2,3,2.1818181818181817,Anita Amma Ankyewah Asante,0.28505862276435207,0.43636363636363634,0.42619047619047623
144,Aston Villa,3775544,2,2,32,0.09850943300000001,Error,Error,1.7575757575757576,2,3,2.5833333333333335,Chloe Arthur,0.26736326545898764,0.36363636363636365,0.41944444444444445
145,West Ham United LFC,3775544,0,1,46,1.412278388,Error,Error,1.0909090909090908,1,2,1.6363636363636365,Dagný Brynjarsdóttir,0.30044674944844746,0.9090909090909091,0.9141414141414143
146,West Ham United LFC,3775544,1,2,18,0.232422309,Error,Error,1.490909090909091,2,3,2.1818181818181817,Cecilie Redisch Kvamme,0.28888600791066993,0.5272727272727272,0.6125541125541125
147,West Ham United LFC,3775544,2,2,32,0.8654523120000002,Error,Error,1.4545454545454546,2,3,2.25,Cecilie Redisch Kvamme,0.2760945429086175,0.5757575757575758,0.72010582010582
148,Manchester United,3775622,0,1,18,0.8834556339999999,Error,Error,1.4727272727272727,2,3,2.1818181818181817,Amy Turner,0.29370195388209824,0.5454545454545454,0.6558441558441559
149,Manchester United,3775622,1,1,27,0.334444417,Error,Error,1.3272727272727274,2,2,2,Amy Turner,0.29663067400257503,0.6727272727272727,0.7106782106782107
150,Manchester United,3775622,2,2,17,0.956229179,Error,Error,1.3454545454545455,2,2,2,Amy Turner,0.2956853748980965,0.6545454545454545,0.703102453102453
151,Manchester United,3775622,3,2,31,0.5517613459999999,Error,Error,1.5897435897435896,2,3,2.3846153846153846,Amy Turner,0.2638965402148309,0.44871794871794873,0.3984126984126984
