,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
123,Manchester United,18236,4,13,Error,Error,1.6181818181818182,Error,Error,Error,Error,0.2437735786582322,0.2545454545454545,0.39792952145893323
124,Manchester United,18236,5,7,Error,Error,2.088888888888889,2,4,3.3,Michael Carrick,0.28884817909792854,0.2777777777777778,0.5424896608767577
125,Manchester United,18236,6,6,Error,Error,2.1363636363636362,2,4,3.3636363636363638,Nemanja Vidić,0.2836543670900657,0.2636363636363636,0.30955155955155955
126,Manchester United,18236,7,7,Error,Error,2.081818181818182,3,5,3.5454545454545454,Luis Antonio Valencia Mosquera,0.2670259992194937,0.3,0.404579346092504
127,Bayern Munich,18235,0,33,Error,Error,1.4454545454545455,1,3,2,Bastian Schweinsteiger,0.2958808703505162,0.5727272727272728,0.620059970502192
128,Bayern Munich,18235,1,10,Error,Error,1.2636363636363637,Error,Error,Error,Error,0.26803382030031203,0.4090909090909091,0.5579656795525226
129,Bayern Munich,18235,2,16,Error,Error,1.7636363636363637,2,4,3,Daniel Van Buyten,0.2631652138736273,0.42727272727272725,0.6683535316588843
130,Bayern Munich,18235,3,10,Error,Error,1.7555555555555555,Error,Error,Error,Error,0.2699881356433332,0.3,0.40708791208791206
131,Bayern Munich,18235,4,17,Error,Error,1.2222222222222223,Error,Error,Error,Error,0.2763230080503473,0.43333333333333335,0.6028069623796269
132,Bayern Munich,18235,5,1,Error,Error,1.5,1,2,1.75,Bastian Schweinsteiger,0.4829628954191451,0.5,0
133,Inter Milan,18235,0,33,Error,Error,1.6,2,3,2.3636363636363638,Cristian Eugen Chivu,0.27720644651913945,0.45454545454545453,0.4744359562006621
134,Inter Milan,18235,1,8,Error,Error,1.1818181818181819,Error,Error,Error,Error,0.21081325389196934,0.17272727272727273,0.1858974358974359
135,Inter Milan,18235,2,13,Error,Error,2.2454545454545456,3,4,3.727272727272727,Cristian Eugen Chivu,0.2645004813734819,0.24545454545454545,0.2250736105999264
136,Inter Milan,18235,3,9,Error,Error,1.1428571428571428,Error,Error,Error,Error,0.30957076537917744,0.35714285714285715,0.3516483516483517
137,Inter Milan,18235,4,16,Error,Error,1.3484848484848484,Error,Error,Error,Error,0.2124545040307355,0.1893939393939394,0.40547184297184297
